,precision,recall,f1-score,support
AnnualCrop,0.9735537190082645,0.9816666666666667,0.9775933609958506,600.0
Forest,1.0,0.9933333333333333,0.9966555183946488,600.0
HerbaceousVegetation,0.9784768211920529,0.985,0.9817275747508306,600.0
Highway,0.9919354838709677,0.984,0.9879518072289156,500.0
Industrial,0.98989898989899,0.98,0.9849246231155779,500.0
Pasture,0.9847715736040609,0.97,0.9773299748110831,400.0
PermanentCrop,0.9625246548323472,0.976,0.9692154915590864,500.0
Residential,0.985172981878089,0.9966666666666667,0.9908864954432477,600.0
River,1.0,0.992,0.9959839357429718,500.0
SeaLake,1.0,1.0,1.0,600.0
accuracy,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667
macro avg,0.9866334224284772,0.9858666666666667,0.9862268782042213,5400.0
weighted avg,0.9867426494425593,0.9866666666666667,0.9866829052774919,5400.0
