,precision,recall,f1-score,support
AnnualCrop,0.9827586206896551,0.95,0.9661016949152542,600.0
Forest,0.9933333333333333,0.9933333333333333,0.9933333333333333,600.0
HerbaceousVegetation,0.973109243697479,0.965,0.9690376569037656,600.0
Highway,0.9778672032193159,0.972,0.9749247743229689,500.0
Industrial,0.9860557768924303,0.99,0.9880239520958084,500.0
Pasture,0.9822784810126582,0.97,0.9761006289308176,400.0
PermanentCrop,0.9278937381404174,0.978,0.952288218111003,500.0
Residential,0.9835255354200988,0.995,0.9892294946147473,600.0
River,0.9939759036144579,0.99,0.9919839679358717,500.0
SeaLake,1.0,0.9983333333333333,0.9991659716430359,600.0
accuracy,0.9803703703703703,0.9803703703703703,0.9803703703703703,0.9803703703703703
macro avg,0.9800797836019847,0.9801666666666666,0.9800189692806605,5400.0
weighted avg,0.9806377302264284,0.9803703703703703,0.9804021478983769,5400.0
